Cross_section,Test_Type,Sustained Loading,W (mm),D (mm),L (mm),Side Cover (mm),Bottom Cover (mm),Top Cover (mm),Reinforcement_Design,Tension Ratio (%),Comp Ratio (%),Longitudinal_Type,End_Anchorage,fy (MPa),fsu (MPa),Stirrup_Type,Volumetric Ratio,Cement_Type,W/C Ratio,fc (MPa),Corrosion_Method,Cathode_Type,Lc (mm),Icorr,Duration (days),Solution Concentration,Immersion Depth (mm),Wet_Dry_Ratio,Mass Loss (%),Sample Length (mm),Shear Span (mm),M_max_exp,ln(M_max_exp)
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,450,650,P,0.754,OPC,0.45,40,C,Control,0,0,0,0,0,N/A,0,0,300,7.05,1.953027617
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,450,650,P,0.754,OPC,0.45,40,C,Control,0,0,0,0,0,N/A,0,0,300,7.08,1.957273908
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,450,650,P,0.754,OPC,0.45,40,C,Control,0,0,0,3.5,0,N/A,0,0,300,7.05,1.953027617
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,447.08,645.79,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,0.5,3.5,150,N/A,0.72,1000,300,7.1,1.959390311
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,443.93,641.23,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,0.8,3.5,150,N/A,1.5,1000,300,7.02,1.948763218
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,442.91,639.76,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,0.8,3.5,150,N/A,1.75,1000,300,6.92,1.933692965
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,442.47,639.12,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,1,3.5,150,N/A,1.86,1000,300,6.95,1.938021976
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,442.06,638.53,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,1,3.5,150,N/A,1.96,1000,300,6.84,1.922787732
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,438.86,633.91,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,1.8,3.5,150,N/A,2.75,1000,300,6.6,1.887069649
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,434.81,628.06,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,2.3,3.5,150,N/A,3.75,1000,300,6.32,1.842927756
